Temperature (°C),Humidity (%),Ice Cream Sales,Beach Visitors,Energy Consumption (kWh),Air Quality Index,Outdoor Activities,Water Consumption (L),Sunscreen Sales,Restaurant Visitors,Mood Index,Productivity Score
27.3,61.8,289,678,658,36,182,1114,231,242,10,40
18.1,61.5,153,364,659,23,135,1029,133,231,10,49
14.3,42.0,133,392,428,64,124,703,106,128,10,52
3.4,80.7,0,112,385,72,31,789,9,5,1,57
14.8,34.9,116,331,451,42,111,683,90,199,10,55
37.1,78.1,355,948,942,0,238,1712,274,333,10,46
35.1,37.1,355,809,749,24,303,1213,279,389,10,58
33.8,80.1,330,853,907,0,197,1449,297,264,10,44
15.8,47.1,141,337,513,33,108,803,114,146,10,52
8.4,36.5,62,171,352,50,87,513,91,89,9,74
6.9,35.4,52,151,195,78,39,520,43,61,4,66
3.2,69.8,21,128,301,77,24,751,21,65,3,55
21.5,78.3,263,474,643,11,130,1076,157,191,10,50
36.6,58.3,337,897,935,0,259,1457,278,346,10,49
3.8,36.2,62,174,255,83,32,364,34,8,2,58
39.6,30.3,424,942,841,17,347,914,324,462,10,46
16.0,65.7,130,394,573,34,107,1178,107,191,10,56
27.5,59.2,259,696,718,42,192,976,206,292,10,39
1.2,34.7,34,9,280,64,2,509,18,0,1,72
30.0,35.0,318,716,658,54,235,930,221,347,10,52
1.6,50.3,0,136,273,83,0,724,7,2,1,64
12.3,57.7,160,304,563,70,80,960,93,107,9,53
11.9,58.2,93,291,508,57,77,961,67,149,7,60
1.1,51.1,27,46,267,75,26,713,36,58,1,59
4.5,39.8,93,110,213,56,33,452,37,69,3,66
18.0,33.3,171,441,412,55,158,777,148,270,10,64
20.1,81.9,201,530,794,46,122,1093,142,146,10,43
1.1,36.4,32,66,227,73,1,469,14,0,1,76
6.0,41.6,91,170,365,51,28,501,64,27,6,61
11.7,35.8,121,268,324,79,86,634,96,127,10,57
13.8,38.7,118,404,427,75,99,715,83,208,10,70
8.1,47.0,127,284,319,48,51,800,60,50,6,70
20.5,48.7,197,570,620,35,169,899,168,194,10,47
35.1,55.9,389,786,830,23,252,1251,272,331,10,42
8.6,66.6,85,245,411,51,46,980,42,104,4,58
19.9,45.7,216,488,533,65,142,761,137,232,10,65
20.1,52.7,209,403,654,62,165,989,175,246,10,46
17.6,87.4,165,468,658,11,106,1141,146,120,10,37
1.2,56.5,36,57,205,75,14,622,20,22,1,66
31.2,60.3,357,868,721,5,200,1099,273,355,10,52
15.5,82.8,116,418,598,44,78,1178,146,179,9,41
17.1,57.6,220,479,625,35,110,797,143,186,10,52
34.4,79.3,341,769,920,0,222,1395,255,296,10,37
39.2,57.8,376,892,965,30,261,1322,292,468,10,45
21.3,65.4,214,476,678,39,159,1154,185,226,10,44
3.0,78.5,35,116,386,44,14,1010,12,0,2,59
5.8,30.0,58,75,251,93,50,453,52,79,5,74
17.3,31.9,210,463,491,53,153,710,120,214,10,67
33.2,75.7,316,917,807,29,217,1259,244,284,10,45
22.2,71.4,226,510,777,28,140,1127,186,218,10,45
34.4,30.2,360,892,629,48,295,1116,288,424,10,62
6.9,49.6,82,99,303,63,41,624,79,72,4,58
32.2,30.8,308,849,576,46,263,889,266,394,10,62
9.9,83.0,74,184,488,33,78,1210,50,70,7,52
12.3,67.8,146,368,476,29,72,924,127,169,9,50
34.0,89.7,300,905,917,23,181,1593,261,250,10,28
23.4,62.4,194,560,636,36,173,1241,211,234,10,45
12.2,71.0,124,243,520,29,61,964,68,132,9,59
38.8,50.8,374,938,871,16,283,1381,329,445,10,47
19.0,39.2,224,501,514,46,150,934,168,264,10,62
37.9,50.5,344,1027,910,7,283,1252,274,418,10,45
38.1,42.0,414,972,733,15,284,1172,300,477,10,55
6.4,77.8,92,244,574,53,33,857,26,99,5,49
16.8,56.2,189,482,437,31,104,1041,164,203,10,64
15.5,74.5,116,321,538,23,104,1249,123,160,9,59
32.5,74.0,373,883,763,33,186,1212,238,279,10,42
24.5,37.3,211,658,578,50,182,745,185,262,10,48
1.5,59.6,25,0,296,53,8,627,13,3,1,52
13.6,74.4,137,267,631,43,71,1093,86,124,9,43
21.0,41.5,186,514,602,28,177,822,163,231,10,58
26.2,89.3,215,657,751,28,138,1565,225,234,10,31
6.1,83.8,105,62,585,44,43,846,39,13,4,51
2.9,89.4,70,108,560,68,17,1120,27,0,4,62
38.4,76.4,353,1034,959,0,229,1662,288,399,10,29
32.9,67.3,355,900,847,22,227,1140,240,339,10,51
13.0,63.6,170,389,489,61,96,1069,83,143,8,46
17.6,88.0,213,442,750,33,82,1345,149,119,10,43
39.4,75.3,400,1069,1047,0,264,1587,316,402,10,39
5.7,88.2,59,237,616,43,45,1007,35,96,5,53
38.5,88.8,362,1000,939,0,209,1682,312,360,10,35
28.2,82.4,254,692,924,7,148,1374,234,217,10,48
31.8,87.8,323,699,910,0,183,1319,256,316,10,29
35.3,33.2,308,898,599,16,299,1160,311,425,10,49
38.8,30.4,361,949,785,24,316,1179,289,530,10,53
14.1,75.4,155,375,681,56,95,1104,102,97,10,46
21.7,53.0,261,519,567,21,163,895,193,211,10,53
29.3,64.2,323,760,854,28,186,1260,205,285,10,43
5.2,66.9,52,106,422,61,35,677,58,95,3,57
29.1,51.2,320,806,621,20,227,1210,229,292,10,44
18.5,68.2,175,400,554,54,128,1248,168,218,10,51
8.9,44.6,118,309,365,53,54,605,66,98,7,55
35.1,58.2,389,827,775,0,236,1427,283,401,10,53
37.2,40.2,375,864,660,4,278,972,323,445,10,50
34.8,47.0,353,942,760,40,281,1066,264,367,10,50
36.3,86.6,321,886,954,4,218,1536,301,291,10,44
35.5,57.6,383,926,858,19,267,1339,297,424,10,55
1.4,80.0,1,0,463,67,28,736,0,31,1,57
11.2,71.2,93,205,425,36,89,1023,111,94,7,45
10.0,65.8,72,207,453,49,67,779,77,147,5,58
3.7,60.4,0,81,357,63,23,499,60,76,4,62
17.7,74.5,216,498,550,56,114,968,144,214,10,50
27.1,36.7,258,617,637,52,238,1044,223,349,10,62
28.8,67.2,311,679,718,31,183,1242,243,272,10,49
22.7,61.3,255,658,600,47,159,1137,191,205,10,56
25.2,77.8,238,583,830,16,165,1372,184,240,10,45
23.7,81.4,231,507,831,40,133,1279,214,209,10,47
6.4,76.5,62,228,540,45,52,807,25,83,4,45
25.4,31.7,236,631,590,35,224,963,182,357,10,51
37.8,47.4,384,931,712,37,273,1188,324,394,10,53
10.8,84.6,80,234,577,30,54,1166,105,100,6,43
20.3,30.9,239,414,501,60,152,588,185,286,10,55
28.9,80.7,328,806,794,14,154,1249,254,290,10,45
18.1,76.4,146,372,699,48,120,1036,133,128,10,56
29.6,57.6,270,787,647,41,207,1045,225,272,10,41
22.9,65.3,195,508,723,32,147,1131,207,194,10,48
0.6,67.5,0,0,386,46,0,785,0,25,1,52
6.4,81.3,93,225,592,48,22,883,35,12,5,52
3.1,80.8,42,53,354,35,19,800,55,0,1,55
18.1,42.5,140,436,412,35,152,751,140,172,10,67
4.5,68.9,69,114,369,63,11,895,48,11,4,57
5.2,86.1,47,159,502,63,22,991,27,28,3,59
21.0,65.7,230,463,587,32,148,1058,154,238,10,49
29.3,55.0,341,730,619,37,204,1014,252,338,10,43
19.8,69.0,235,448,551,54,128,966,152,232,10,41
26.5,35.9,270,570,521,43,211,692,232,355,10,52
29.7,74.6,263,664,769,4,176,1444,259,244,10,45
20.5,66.7,195,424,619,33,151,1075,156,229,10,45
35.9,63.6,327,808,786,0,264,1161,312,410,10,36
15.1,39.7,167,383,500,48,122,809,108,204,10,56
18.5,43.4,164,485,476,62,163,875,169,226,10,61
2.0,31.0,37,125,282,74,0,289,43,36,3,67
6.5,32.0,34,114,324,58,70,403,40,108,7,63
19.2,68.9,144,533,679,54,131,1052,183,205,10,44
28.8,53.2,301,727,790,14,227,929,216,281,10,48
27.7,40.7,312,720,566,19,229,911,225,345,10,63
13.3,81.4,176,333,573,57,92,1254,79,92,8,56
38.1,32.4,365,904,776,38,338,1109,299,498,10,53
38.8,36.8,404,1034,814,26,310,1243,340,504,10,57
26.4,88.0,286,683,780,23,136,1260,231,206,10,34
5.3,66.2,57,129,375,56,17,744,62,6,5,58
18.4,69.0,162,464,537,26,123,996,135,205,10,59
14.1,65.2,140,424,600,39,111,759,101,154,10,55
25.1,64.0,211,678,601,31,161,1264,175,306,10,58
27.6,88.1,236,667,934,16,172,1314,241,216,10,46
1.6,35.5,27,127,183,65,1,281,43,27,1,69
12.6,63.0,96,327,477,64,71,817,122,87,7,49
20.8,73.3,174,605,750,43,130,1112,194,151,10,55
12.0,48.1,130,264,334,45,110,869,95,160,8,57
30.7,81.9,301,776,939,4,201,1563,233,238,10,47
10.5,52.1,140,260,419,59,89,875,113,112,7,50
28.6,41.5,251,644,639,47,207,842,204,383,10,49
16.8,56.4,149,409,587,38,105,826,107,191,10,63
2.9,69.7,36,140,454,66,12,630,2,0,1,64
2.4,52.7,59,21,206,60,20,731,34,3,1,65
39.1,43.0,392,950,862,17,327,1187,302,427,10,46
2.3,49.1,0,40,344,86,2,587,45,63,1,73
14.9,37.9,135,450,354,65,127,489,149,224,10,67
32.4,71.9,364,791,882,27,191,1299,271,319,10,43
3.9,56.8,28,144,283,59,43,679,31,70,2,68
4.2,31.6,0,117,269,64,32,537,62,22,5,64
10.3,83.2,129,277,520,49,45,849,66,128,6,46
23.0,81.7,256,519,777,42,155,1191,191,218,10,50
19.2,37.5,231,508,575,47,150,868,142,272,10,65
19.5,82.9,207,555,720,16,130,1332,142,217,10,53
32.2,81.5,364,762,951,13,175,1326,284,244,10,48
13.7,74.3,167,384,535,37,71,892,92,82,8,56
0.7,71.3,0,60,378,81,6,904,8,0,1,67
3.5,57.8,0,164,402,70,14,553,23,28,4,51
24.6,50.1,253,569,608,26,196,996,183,239,10,43
15.9,58.8,122,424,479,37,124,1080,126,138,10,50
1.8,50.8,0,108,271,81,4,508,2,57,3,55
14.3,42.0,133,443,368,38,99,763,87,122,10,60
18.5,53.5,166,370,632,31,140,711,126,219,10,57
34.2,87.8,318,832,969,0,188,1382,273,285,10,36
39.3,86.8,371,1070,1064,0,208,1618,321,310,10,26
14.1,59.6,133,418,556,49,88,738,137,111,8,56
12.0,38.3,168,368,344,47,97,621,105,129,8,61
12.6,63.3,174,375,441,56,72,1061,72,121,10,46
28.6,54.7,246,742,727,15,217,1237,203,296,10,52
14.4,32.2,142,422,323,76,102,653,95,143,10,67
24.7,72.1,245,522,639,24,177,1330,185,236,10,49
21.5,48.7,261,628,570,62,179,1045,195,242,10,57
23.7,30.3,220,655,452,66,205,681,217,276,10,53
13.3,36.4,163,263,323,68,114,726,113,144,10,54
1.5,41.8,34,0,165,88,27,566,24,4,2,57
39.8,38.0,394,910,722,15,320,1331,331,469,10,52
27.6,50.3,267,673,681,31,226,898,246,291,10,45
18.8,72.7,230,522,687,43,118,1165,164,219,10,51
9.7,82.1,98,204,630,56,65,932,75,90,6,46
26.7,85.6,291,587,814,33,143,1483,219,223,10,43
28.2,78.8,287,671,745,7,153,1339,250,258,10,42
23.7,85.6,224,555,761,21,148,1173,181,228,10,33
30.2,32.5,268,821,606,32,256,729,259,359,10,63
38.1,80.3,388,954,905,4,215,1680,306,303,10,47
30.0,59.4,298,811,660,28,212,1140,261,324,10,39
14.6,78.3,133,422,598,46,95,939,89,176,8,46
27.0,43.4,225,747,562,48,219,1063,234,312,10,56
15.4,58.5,199,456,602,40,123,813,114,115,10,48
14.6,67.4,125,328,597,57,85,1065,109,118,10,57
6.3,67.2,50,105,350,63,41,675,72,35,4,56
21.4,41.4,259,478,475,61,167,896,179,238,10,59
24.2,35.6,246,674,585,30,182,994,180,288,10,60
8.1,50.9,52,126,401,64,52,845,52,100,8,63
10.3,58.8,68,161,546,75,68,889,78,103,6,50
36.7,53.5,345,908,795,16,263,1191,305,406,10,51
25.9,54.3,268,651,567,17,181,913,202,247,10,54
5.4,85.7,62,205,510,49,31,1077,20,86,3,60
14.4,79.5,151,451,664,41,80,941,104,126,10,44
3.0,64.1,1,0,424,62,5,516,0,0,1,64
31.2,47.2,291,722,733,43,249,1269,236,336,10,52
31.9,79.6,344,817,790,27,172,1464,275,300,10,43
3.5,72.0,77,116,369,67,34,822,14,13,2,49
23.8,31.5,273,655,542,43,186,989,191,310,10,65
13.6,80.0,119,279,600,30,99,900,109,74,8,47
10.0,47.9,52,198,341,56,91,823,109,146,8,56
12.4,64.4,157,381,602,49,94,843,121,80,7,60
7.2,87.4,89,248,491,42,22,922,44,13,4,52
4.8,59.5,20,168,287,60,21,510,39,59,4,60
37.5,51.2,326,939,773,33,299,1404,315,413,10,55
13.4,43.4,164,385,377,69,90,642,98,137,9,56
4.7,58.2,60,132,384,77,48,480,28,65,3,52
16.5,58.7,149,493,523,60,114,843,137,202,10,55
24.2,65.3,217,605,632,12,160,1040,197,272,10,52
3.2,34.4,66,46,122,80,47,538,21,16,2,64
1.2,71.6,0,126,460,74,0,816,39,0,1,53
35.7,49.4,384,843,775,21,256,1020,268,362,10,56
10.5,42.6,145,244,408,55,101,764,79,129,7,57
11.1,36.5,87,300,440,51,77,568,102,141,9,54
21.1,46.4,233,503,645,31,182,845,142,201,10,59
1.2,39.4,14,0,163,91,0,509,0,0,2,77
11.4,83.7,107,233,685,41,81,882,115,72,5,49
11.7,38.5,97,262,348,63,96,678,81,105,10,70
24.1,55.7,240,589,627,18,193,1117,167,264,10,60
0.7,68.4,36,0,353,53,0,721,28,52,1,55
5.7,32.7,26,203,212,66,37,607,67,26,4,73
28.5,49.8,248,730,613,48,225,1071,205,352,10,49
8.5,64.7,62,286,457,65,63,936,92,78,7,56
18.8,71.7,216,555,618,34,111,1220,149,212,10,42
12.2,47.1,132,383,472,54,91,762,98,171,8,66
35.4,75.3,398,940,1002,5,223,1262,301,355,10,31
37.6,66.3,357,984,992,6,255,1239,289,339,10,34
37.0,65.7,408,1019,843,0,240,1211,296,385,10,33
22.1,87.7,255,586,824,31,132,1149,190,146,10,36
3.1,48.8,19,136,212,63,27,582,54,25,1,61
15.7,74.8,188,330,511,38,94,1064,107,113,10,50
4.7,40.2,41,198,300,87,41,389,51,95,5,68
21.3,48.9,172,521,663,24,178,887,158,288,10,45
13.6,31.1,180,375,312,70,97,690,93,189,10,72
22.1,82.9,205,474,842,18,129,1440,180,185,10,35
26.9,80.3,306,690,862,36,156,1303,218,292,10,52
35.4,45.7,304,966,777,20,280,1173,275,365,10,58
23.0,39.2,251,530,565,65,180,929,204,269,10,50
37.2,53.1,333,937,913,7,275,1264,322,408,10,36
33.9,41.3,382,825,654,41,258,1195,253,402,10,47
6.5,61.1,66,87,482,71,53,848,44,31,5,56
7.8,37.8,32,107,286,72,72,619,72,88,6,66
37.4,46.6,341,864,891,25,296,1328,329,397,10,40
4.0,88.6,8,84,511,66,21,823,16,51,3,49
31.8,57.7,288,823,702,18,243,1348,233,293,10,53
22.7,42.3,261,514,519,43,175,1007,175,243,10,58
16.1,49.5,131,479,398,54,122,789,114,231,10,62
35.1,40.3,340,977,731,22,267,1151,309,411,10,55
15.1,85.5,126,437,556,51,105,991,97,96,9,47
39.5,53.3,359,941,935,2,272,1422,336,400,10,45
5.4,51.8,13,72,380,47,55,507,33,32,4,59
36.0,69.3,356,913,825,0,240,1226,307,369,10,34
29.4,58.4,323,785,817,39,190,1261,240,268,10,38
13.4,87.5,129,408,584,33,70,1168,112,72,6,39
35.0,49.2,379,791,865,43,267,1080,255,360,10,44
35.8,32.3,350,864,635,30,283,1030,278,431,10,49
11.4,53.3,147,297,492,54,86,903,105,168,7,50
5.0,85.3,13,210,573,48,44,819,60,79,2,52
24.6,70.7,270,667,812,38,149,1264,199,235,10,55
4.9,39.4,75,159,182,81,49,644,41,60,5,74
32.8,69.7,369,786,748,20,231,1233,238,346,10,51
24.5,75.7,290,664,762,13,149,1330,218,252,10,37
6.7,81.5,101,122,501,62,40,1102,57,52,2,52
6.2,54.5,105,179,265,71,41,792,73,95,5,60
7.7,78.2,115,256,583,65,54,895,62,29,6,48
35.0,41.2,321,832,793,8,296,1079,307,411,10,53
33.2,76.5,332,803,937,27,220,1559,286,351,10,43
14.3,73.5,153,307,620,28,109,1150,140,97,8,59
38.7,76.7,361,939,987,0,229,1706,335,316,10,35
1.2,39.0,0,64,247,95,11,567,15,29,1,64
15.0,88.0,130,362,678,32,101,1117,118,123,9,39
29.7,63.2,345,810,757,30,187,1155,229,317,10,56
28.0,40.1,280,629,643,34,219,912,227,307,10,60
1.8,59.5,9,114,243,58,9,727,31,59,2,56
10.6,40.8,122,185,430,58,99,483,114,94,10,72
31.2,59.1,301,868,674,25,235,1170,279,317,10,41
17.6,67.4,143,490,656,58,134,903,135,176,10,51
28.7,86.5,330,720,959,15,162,1595,258,229,10,33
7.7,36.7,82,129,352,58,49,477,87,91,5,73
22.2,74.5,213,603,649,13,122,1198,158,253,10,45
22.1,83.7,205,497,754,13,142,1448,172,199,10,39
23.3,37.0,192,660,456,39,180,698,175,308,10,59
25.0,72.5,275,648,715,25,161,1286,186,200,10,49
30.1,50.3,337,758,729,22,234,956,247,384,10,41
27.4,45.5,302,659,560,54,202,1188,234,338,10,60
37.2,66.9,400,913,814,23,261,1281,315,355,10,42
33.1,32.1,368,852,713,20,259,981,283,391,10,57
3.8,54.5,21,68,251,47,12,569,46,50,2,69
27.0,42.8,301,580,697,28,196,1089,196,292,10,52
5.7,41.7,33,187,278,76,57,546,51,35,5,60
31.0,80.7,287,836,852,0,189,1279,259,316,10,36
0.1,77.0,0,0,299,63,6,634,0,16,2,51
9.5,33.8,48,236,214,70,70,410,74,152,8,72
20.7,54.0,184,484,511,59,135,1008,189,198,10,47
0.2,54.1,0,0,362,71,2,610,0,38,1,62
24.0,79.2,257,657,700,6,143,1270,222,175,10,47
26.3,37.9,238,676,528,42,204,856,191,306,10,56
38.1,49.3,428,1041,719,33,279,1130,280,471,10,42
21.6,83.8,237,544,689,9,124,1380,149,147,10,42
37.8,79.4,355,972,983,0,248,1414,283,333,10,45
2.1,38.7,4,0,164,94,30,318,27,11,2,74
36.3,38.0,325,907,815,40,279,1129,300,443,10,51
38.1,82.3,382,909,998,0,224,1571,333,347,10,38
7.0,71.1,112,133,494,73,26,699,58,28,3,61
32.1,54.5,307,883,676,35,247,1071,276,330,10,56
5.4,34.5,42,48,220,64,34,439,62,25,6,61
17.3,46.4,181,510,564,64,149,615,142,213,10,53
32.5,67.6,294,813,840,17,202,1342,242,301,10,41
23.2,51.8,186,577,591,32,188,831,173,260,10,54
19.1,68.8,200,427,607,56,112,1119,171,191,10,40
7.8,62.6,98,289,516,54,60,937,49,96,6,53
39.3,35.2,438,885,826,24,323,1125,302,514,10,42
16.3,50.2,128,391,564,53,114,723,120,136,10,64
35.6,54.0,382,963,782,23,252,1406,304,401,10,36
17.1,31.6,154,405,428,57,141,808,117,216,10,53
38.3,77.2,355,999,886,0,236,1533,331,361,10,29
29.4,33.9,328,780,539,36,251,777,248,360,10,46
25.0,86.5,274,595,857,36,159,1347,197,211,10,35
5.4,76.4,52,72,543,53,52,797,26,27,3,55
8.9,64.9,122,250,524,73,72,862,44,92,5,64
0.5,52.9,7,0,319,71,1,494,0,0,1,59
16.4,32.5,174,410,503,63,130,733,112,164,10,63
23.4,58.2,196,607,725,50,160,1127,174,218,10,45
11.7,74.9,115,343,480,30,76,1020,71,154,6,49
0.3,82.3,8,39,429,65,7,722,0,0,1,58
21.1,88.8,256,517,741,42,126,1369,185,203,10,43
34.7,71.7,348,931,959,26,212,1468,261,312,10,31
8.6,50.6,128,181,401,64,68,690,85,66,6,58
34.5,57.0,385,871,883,14,252,1064,260,401,10,48
8.6,37.0,48,134,288,88,87,700,89,130,8,71
12.2,62.3,117,372,593,48,70,1017,72,135,7,58
36.8,40.2,355,858,669,17,309,1317,280,441,10,48
31.6,35.3,326,743,655,50,251,798,244,410,10,50
30.7,57.5,298,858,760,9,209,1003,237,330,10,41
29.0,47.0,288,811,662,40,215,1194,261,371,10,55
39.6,75.3,364,927,1056,0,261,1399,304,413,10,32
39.1,30.0,378,948,668,35,319,1192,300,527,10,52
31.7,45.7,286,810,743,37,259,1169,260,336,10,48
14.9,33.7,164,466,382,55,106,716,106,156,10,70
33.9,32.8,369,865,610,41,293,1180,278,468,10,50
15.2,58.0,191,309,436,68,106,812,108,191,10,54
33.6,50.5,373,903,796,16,270,1259,262,333,10,57
11.4,53.6,151,246,436,59,96,911,107,150,9,63
1.2,52.5,20,39,328,82,0,549,37,58,2,63
26.7,48.4,303,681,601,48,184,876,184,307,10,43
25.7,61.7,294,644,719,47,182,1313,216,249,10,57
31.7,81.8,311,699,909,25,200,1421,247,259,10,46
22.5,44.9,178,610,525,24,175,900,176,239,10,52
33.0,66.8,334,810,771,36,220,1426,271,336,10,47
11.1,61.2,96,286,471,51,75,672,97,124,7,62
26.5,69.0,230,722,836,40,160,1055,218,233,10,42
15.3,70.3,141,301,497,26,110,918,121,128,9,46
33.7,50.2,307,932,797,28,269,1106,294,333,10,58
11.1,38.8,135,264,421,68,77,570,117,164,10,72
25.8,47.4,275,686,568,42,185,1189,177,251,10,62
33.9,85.7,370,906,890,9,176,1627,268,267,10,45
6.5,68.6,33,241,525,64,56,664,72,14,3,60
26.2,40.3,238,684,513,44,194,729,232,360,10,49
8.3,80.1,42,257,591,44,64,1039,58,44,3,44
32.9,61.9,375,750,871,36,246,1453,288,327,10,54
3.2,60.5,43,126,352,75,6,792,0,13,2,65
8.8,54.0,89,305,390,50,57,711,86,126,8,57
1.6,46.7,27,88,191,64,32,502,0,50,2,71
5.6,77.7,91,129,564,63,42,863,30,55,4,52
38.6,63.1,386,928,972,22,280,1268,284,378,10,44
17.6,39.2,149,378,407,38,139,664,161,188,10,56
33.6,77.7,349,780,815,11,225,1261,260,352,10,41
37.1,72.7,321,841,901,14,248,1341,308,316,10,43
1.0,88.1,55,84,499,73,15,1061,0,0,1,60
1.6,63.5,0,0,382,76,0,575,16,32,2,67
10.2,84.9,139,296,487,54,46,933,111,62,5,42
9.8,82.2,92,297,556,60,73,1115,69,77,7,48
16.1,35.3,206,466,516,39,125,787,151,158,10,55
2.0,87.9,40,65,499,68,26,835,44,58,1,58
15.1,37.5,136,380,406,52,103,781,108,210,10,56
5.1,69.7,70,65,469,58,19,854,37,78,4,66
17.2,50.0,180,489,522,38,125,930,118,190,10,66
29.8,52.1,255,800,739,10,212,1164,225,301,10,47
3.2,50.7,43,25,323,64,36,728,13,3,3,54
27.1,74.3,260,650,750,27,157,1096,224,254,10,35
16.7,45.7,195,436,508,37,143,915,137,190,10,62
6.9,73.3,91,132,445,59,53,716,70,51,4,61
9.9,77.4,57,236,556,52,44,1010,66,49,5,59
9.2,55.6,52,206,508,52,69,661,57,59,8,57
35.9,48.7,329,845,692,11,267,1141,266,440,10,40
6.5,39.5,86,152,254,56,46,521,46,107,4,71
28.6,78.4,268,653,870,7,165,1235,223,293,10,45
27.7,47.7,323,655,564,32,193,963,229,332,10,58
25.1,54.4,279,537,624,40,173,894,172,309,10,60
20.6,85.2,244,466,823,7,99,1077,138,131,10,36
13.5,31.2,177,294,282,55,112,462,130,129,10,55
33.0,44.4,297,909,787,46,239,1008,267,380,10,45
12.6,63.3,124,234,548,53,79,800,96,141,8,51
11.1,43.9,109,349,445,71,87,736,85,140,8,61
23.0,85.7,204,509,710,18,129,1501,194,242,10,41
21.2,56.9,181,573,689,59,158,935,157,194,10,48
4.7,88.0,23,132,610,30,16,1047,12,84,2,56
26.3,38.7,232,561,533,33,217,766,199,352,10,61
9.2,72.5,137,233,447,38,76,969,71,100,4,63
20.7,40.1,256,617,532,45,176,973,174,217,10,57
20.8,77.3,193,590,712,19,133,1281,159,142,10,38
8.9,65.7,132,219,548,35,78,640,60,62,5,46
1.6,84.6,9,45,500,53,1,1001,0,50,1,45
3.3,57.5,29,35,347,73,17,793,44,10,1,58
30.3,44.7,291,744,764,43,219,1013,237,311,10,58
21.5,86.3,222,561,831,16,125,1097,188,231,10,39
9.1,67.8,96,169,469,33,64,712,70,98,6,63
14.3,64.4,190,357,500,63,117,766,139,116,10,49
7.5,49.0,53,155,383,70,61,728,63,87,8,56
17.9,84.2,136,362,639,17,106,1101,166,146,10,47
10.0,86.1,147,301,505,59,41,1115,76,49,6,40
25.1,39.4,226,628,560,60,184,715,175,306,10,60
39.3,66.4,361,1000,980,13,244,1642,331,430,10,49
17.9,86.7,173,498,620,24,87,1202,149,132,10,41
4.9,63.2,77,154,300,63,49,766,17,57,4,57
4.2,58.3,9,53,327,73,48,798,10,4,2,64
31.7,58.2,306,748,821,28,209,1074,232,337,10,39
32.4,66.6,299,840,808,15,215,1451,247,306,10,51
18.5,86.8,159,403,723,15,120,1167,119,112,10,54
31.5,52.3,297,754,803,45,238,1323,245,360,10,45
31.3,73.8,323,867,791,7,204,1557,235,247,10,48
20.8,89.0,191,490,744,26,111,1186,158,153,10,39
20.1,78.8,239,445,658,50,125,1178,140,202,10,48
28.6,83.3,257,741,927,32,186,1365,253,204,10,40
25.3,72.6,293,660,731,27,180,1375,215,258,10,52
18.9,77.1,186,459,691,50,100,1311,139,186,10,56
6.0,78.0,12,209,544,61,53,1023,28,72,6,44
26.4,33.6,279,711,559,59,221,859,210,376,10,59
3.0,76.0,11,138,359,77,23,1001,7,32,2,63
32.3,74.9,282,901,946,0,218,1490,267,304,10,46
16.5,47.1,214,475,509,37,117,786,112,191,10,55
29.1,41.5,340,787,680,23,240,987,260,369,10,44
27.2,51.5,280,762,682,27,203,1127,234,300,10,47
18.6,86.3,209,456,774,16,87,1355,122,197,9,36
31.4,34.2,333,789,548,32,267,883,226,358,10,55
15.2,45.5,119,473,399,52,116,831,116,131,10,68
24.3,49.6,196,669,671,32,172,1053,171,291,10,59
5.5,71.6,37,150,469,44,20,1019,53,68,3,65
8.1,60.2,99,114,334,59,65,730,86,41,4,62
32.7,86.9,295,859,903,0,203,1429,248,243,10,32
4.2,42.3,66,121,356,72,30,402,51,36,2,75
13.6,45.3,149,372,458,58,106,738,84,137,10,59
26.8,85.0,266,723,841,30,168,1310,224,265,10,44
10.5,58.4,100,165,500,35,79,817,92,75,6,59
37.2,63.3,336,932,797,18,248,1496,287,339,10,34
19.2,33.6,179,382,537,74,152,521,173,233,10,56
27.6,86.6,280,604,910,14,170,1417,196,241,10,38
0.5,87.2,42,6,486,55,0,785,0,7,1,55
28.7,31.0,293,748,505,32,242,1070,226,334,10,57
4.1,79.1,5,180,375,57,31,1001,62,10,3,45
19.2,72.7,221,427,687,25,142,1108,160,209,10,50
32.9,38.2,350,907,623,19,252,1147,280,420,10,44
28.8,88.4,332,815,944,0,173,1466,239,246,10,47
26.4,57.5,312,668,607,34,204,1033,223,300,10,58
24.9,73.1,245,717,701,21,174,1378,171,234,10,43
38.6,33.6,374,1046,843,29,312,957,305,494,10,46
0.3,55.9,22,33,329,72,0,633,0,0,1,70
26.9,31.6,289,741,510,36,225,686,187,357,10,53
14.5,87.0,102,378,555,41,81,1204,106,127,9,39
21.3,79.7,185,502,746,39,133,1395,168,166,10,38
26.3,65.5,297,616,770,28,166,1357,196,254,10,53
14.4,87.8,157,303,706,46,91,1228,136,145,7,52
36.2,74.0,404,1001,956,6,238,1491,308,307,10,39
19.0,74.7,152,521,646,48,110,1288,144,226,10,43
1.7,56.3,27,87,245,53,22,498,38,53,3,72
24.9,40.3,264,631,631,62,189,1035,197,289,10,60
13.5,40.9,135,239,426,44,100,866,100,180,10,68
39.4,72.2,420,1050,930,0,267,1502,316,373,10,35
38.0,55.4,403,973,930,23,267,1266,320,389,10,37
20.9,38.5,229,483,518,62,175,652,191,253,10,59
5.7,41.4,19,165,245,73,35,434,63,40,5,57
13.8,72.1,173,247,605,50,96,1074,137,123,9,59
